step=075 action=1 queues(env)=N0,S1,E0,W0 rendered_approaching={'N': 0, 'S': 1, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 9, 'W': 10} reward=-1.2
step=076 action=0 queues(env)=N0,S0,E1,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 1} rendered_departing={'N': 10, 'S': 10, 'E': 9, 'W': 10} reward=-3.0
step=077 action=1 queues(env)=N0,S0,E0,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 9, 'E': 10, 'W': 10} reward=-1.0
step=078 action=1 queues(env)=N0,S0,E0,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 9, 'E': 10, 'W': 10} reward=4.0
step=079 action=1 queues(env)=N0,S0,E0,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 9, 'E': 10, 'W': 9} reward=0.0
step=080 action=1 queues(env)=N0,S0,E0,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 9, 'E': 10, 'W': 9} reward=0.0
step=081 action=1 queues(env)=N1,S1,E0,W0 rendered_approaching={'N': 1, 'S': 1, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 9, 'E': 10, 'W': 9} reward=-2.0
step=082 action=0 queues(env)=N0,S0,E0,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 1} rendered_departing={'N': 10, 'S': 10, 'E': 9, 'W': 9} reward=-2.0
step=083 action=0 queues(env)=N0,S0,E0,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 1} rendered_departing={'N': 10, 'S': 10, 'E': 9, 'W': 9} reward=0.9
step=084 action=0 queues(env)=N0,S0,E0,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 1} rendered_departing={'N': 10, 'S': 10, 'E': 9, 'W': 9} reward=-1.2
step=085 action=0 queues(env)=N0,S0,E0,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 1} rendered_departing={'N': 10, 'S': 9, 'E': 9, 'W': 9} reward=-1.3
step=086 action=0 queues(env)=N0,S0,E0,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 1} rendered_departing={'N': 10, 'S': 9, 'E': 9, 'W': 9} reward=0.6
step=087 action=0 queues(env)=N0,S0,E1,W2 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 2} rendered_departing={'N': 10, 'S': 9, 'E': 9, 'W': 8} reward=-3.5
step=088 action=1 queues(env)=N0,S1,E0,W0 rendered_approaching={'N': 0, 'S': 1, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 9, 'E': 10, 'W': 10} reward=-2.0
step=089 action=1 queues(env)=N1,S2,E0,W0 rendered_approaching={'N': 1, 'S': 2, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 9, 'E': 10, 'W': 10} reward=-3.1
step=090 action=0 queues(env)=N0,S1,E1,W0 rendered_approaching={'N': 0, 'S': 1, 'E': 1, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 9, 'W': 10} reward=-5.0
step=091 action=0 queues(env)=N0,S0,E2,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 2, 'W': 1} rendered_departing={'N': 10, 'S': 10, 'E': 9, 'W': 10} reward=-1.1
step=092 action=1 queues(env)=N0,S0,E1,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-4.1
step=093 action=1 queues(env)=N0,S0,E0,W0 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 9, 'E': 10, 'W': 10} reward=4.0
step=094 action=1 queues(env)=N1,S1,E0,W0 rendered_approaching={'N': 1, 'S': 1, 'E': 0, 'W': 0} rendered_departing={'N': 10, 'S': 9, 'E': 10, 'W': 10} reward=0.0
step=095 action=0 queues(env)=N0,S0,E0,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 1} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 9} reward=-2.0
step=096 action=0 queues(env)=N0,S0,E0,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 1} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 9} reward=0.9
step=097 action=0 queues(env)=N0,S0,E1,W2 rendered_approaching={'N': 0, 'S': 0, 'E': 1, 'W': 2} rendered_departing={'N': 9, 'S': 10, 'E': 10, 'W': 9} reward=-1.2
step=098 action=1 queues(env)=N0,S1,E0,W1 rendered_approaching={'N': 0, 'S': 1, 'E': 0, 'W': 1} rendered_departing={'N': 9, 'S': 10, 'E': 9, 'W': 10} reward=-5.0
step=099 action=1 queues(env)=N1,S2,E0,W1 rendered_approaching={'N': 1, 'S': 2, 'E': 0, 'W': 1} rendered_departing={'N': 9, 'S': 10, 'E': 9, 'W': 10} reward=-4.1
step=100 action=0 queues(env)=N0,S0,E0,W1 rendered_approaching={'N': 0, 'S': 0, 'E': 0, 'W': 1} rendered_departing={'N': 10, 'S': 10, 'E': 9, 'W': 10} reward=-2.1
