time/fps,rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,time/time_elapsed,train/n_updates,train/learning_rate,time/total_timesteps,time/episodes
4420,471.1063829787234,0.05,-4752.359574468085,2.289320468902588,5,5510,0.001,22142,47
4429,471.7083333333333,0.05,-4674.804166666667,1.8722741603851318,5,5635,0.001,22642,48
4437,472.2857142857143,0.05,-4601.8938775510205,2.453840732574463,5,5760,0.001,23142,49
4446,472.84,0.05,-4529.064,3.829447031021118,5,5885,0.001,23642,50
4453,473.37254901960785,0.05,-4460.768627450981,2.0073676109313965,5,6010,0.001,24142,51
4461,473.88461538461536,0.05,-4393.536538461539,2.7298786640167236,5,6135,0.001,24642,52
4468,474.37735849056605,0.05,-4329.141509433963,1.9128880500793457,5,6260,0.001,25142,53
4475,474.85185185185185,0.05,-4272.344444444445,2.633662700653076,5,6385,0.001,25642,54
4481,475.3090909090909,0.05,-4210.734545454546,1.9914507865905762,5,6510,0.001,26142,55
4488,475.75,0.05,-4153.317857142857,2.447018623352051,5,6635,0.001,26642,56
4495,476.17543859649123,0.05,-4099.884210526316,1.8257235288619995,6,6760,0.001,27142,57
4501,476.58620689655174,0.05,-4045.794827586207,1.6831403970718384,6,6885,0.001,27642,58
4507,476.9830508474576,0.05,-3993.8542372881357,2.1044602394104004,6,7010,0.001,28142,59
4512,477.3666666666667,0.05,-3945.735,2.0234928131103516,6,7135,0.001,28642,60
4518,477.73770491803276,0.05,-3895.8065573770496,2.051024913787842,6,7260,0.001,29142,61
4523,478.0967741935484,0.05,-3847.667741935484,2.2208991050720215,6,7385,0.001,29642,62
4528,478.44444444444446,0.05,-3803.6333333333337,3.747382164001465,6,7510,0.001,30142,63
4533,478.78125,0.05,-3756.9390625,3.1040420532226562,6,7635,0.001,30642,64
4537,479.10769230769233,0.05,-3715.5215384615385,1.5336647033691406,6,7760,0.001,31142,65
4541,479.42424242424244,0.05,-3676.413636363636,3.1574792861938477,6,7885,0.001,31642,66
4544,479.7313432835821,0.05,-3638.4268656716413,2.7279257774353027,7,8010,0.001,32142,67
4548,480.02941176470586,0.05,-3596.5632352941175,2.3743717670440674,7,8135,0.001,32642,68
4552,480.3188405797101,0.05,-3558.901449275362,2.5358943939208984,7,8260,0.001,33142,69
4555,480.6,0.05,-3523.742857142857,3.1672427654266357,7,8385,0.001,33642,70
4559,480.8732394366197,0.05,-3490.322535211267,2.073029041290283,7,8510,0.001,34142,71
4563,481.1388888888889,0.05,-3453.804166666667,2.0468950271606445,7,8635,0.001,34642,72
4567,481.3972602739726,0.05,-3418.642465753425,2.1730868816375732,7,8760,0.001,35142,73
4571,481.64864864864865,0.05,-3388.2662162162164,9.34737777709961,7,8885,0.001,35642,74
4574,481.8933333333333,0.05,-3360.5173333333337,2.035922050476074,7,9010,0.001,36142,75
4577,482.13157894736844,0.05,-3331.26052631579,2.4993648529052734,8,9135,0.001,36642,76
4579,482.3636363636364,0.05,-3301.61038961039,3.6176042556762695,8,9260,0.001,37142,77
4581,482.5897435897436,0.05,-3273.1012820512824,2.5993545055389404,8,9385,0.001,37642,78
4583,482.8101265822785,0.05,-3243.816455696203,2.537421226501465,8,9510,0.001,38142,79
4586,483.025,0.05,-3213.4387500000003,3.015726089477539,8,9635,0.001,38642,80
4588,483.2345679012346,0.05,-3186.8209876543215,2.9604732990264893,8,9760,0.001,39142,81
4591,483.4390243902439,0.05,-3161.1829268292686,2.0170276165008545,8,9885,0.001,39642,82
4592,483.6385542168675,0.05,-3135.8927710843377,2.881631374359131,8,10010,0.001,40142,83
4594,483.8333333333333,0.05,-3109.8678571428572,1.920092225074768,8,10135,0.001,40642,84
4597,484.0235294117647,0.05,-3086.7364705882355,2.3708953857421875,8,10260,0.001,41142,85
