step=057 action=0 queues(env)=N0,S9,E6,W3 rendered_approaching={'N': 0, 'S': 7, 'E': 6, 'W': 3} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-31.7
step=058 action=2 queues(env)=N0,S8,E6,W3 rendered_approaching={'N': 0, 'S': 7, 'E': 6, 'W': 3} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-33.1
step=059 action=1 queues(env)=N1,S9,E6,W2 rendered_approaching={'N': 1, 'S': 7, 'E': 6, 'W': 2} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-33.2
step=060 action=0 queues(env)=N0,S7,E7,W2 rendered_approaching={'N': 0, 'S': 7, 'E': 7, 'W': 2} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-28.1
step=061 action=2 queues(env)=N0,S7,E8,W2 rendered_approaching={'N': 0, 'S': 7, 'E': 7, 'W': 2} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-31.4
step=062 action=1 queues(env)=N0,S7,E8,W0 rendered_approaching={'N': 0, 'S': 7, 'E': 7, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-25.7
step=063 action=3 queues(env)=N1,S8,E8,W0 rendered_approaching={'N': 1, 'S': 7, 'E': 7, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-29.2
step=064 action=1 queues(env)=N2,S8,E7,W0 rendered_approaching={'N': 2, 'S': 7, 'E': 7, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-31.9
step=065 action=3 queues(env)=N3,S8,E8,W1 rendered_approaching={'N': 3, 'S': 7, 'E': 7, 'W': 1} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-36.6
step=066 action=1 queues(env)=N3,S9,E7,W0 rendered_approaching={'N': 3, 'S': 7, 'E': 7, 'W': 0} rendered_departing={'N': 10, 'S': 10, 'E': 10, 'W': 10} reward=-34.4
